"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2015","2015",1.92071,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2017","2017",1.87977,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2019","2019",1.82892,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2015","2015",3.04969,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2016","2016",3.11655,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2017","2017",3.05656,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2018","2018",3.09182,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2019","2019",3.13247,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2020","2020",3.20149,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2021","2021",3.25632,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2015","2015",2.42817,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2016","2016",2.52338,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2017","2017",2.66666,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2018","2018",2.86018,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2019","2019",3.1566,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2020","2020",3.39697,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2021","2021",3.42979,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2015","2015",1.69324,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2016","2016",1.72903,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2017","2017",1.68702,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2018","2018",1.7372,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2019","2019",1.75573,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2020","2020",1.89484,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2021","2021",1.69727,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2015","2015",1.91689,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2016","2016",1.67003,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2017","2017",1.76855,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2018","2018",1.89906,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2019","2019",1.92734,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2020","2020",1.98599,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2021","2021",1.99601,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2015","2015",3.05497,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2016","2016",3.09283,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2017","2017",2.93124,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2018","2018",2.96603,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2019","2019",2.89685,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2020","2020",2.96873,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2021","2021",2.81262,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2015","2015",2.87196,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2016","2016",2.72442,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2017","2017",2.72787,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2018","2018",2.75749,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2019","2019",2.79961,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2020","2020",2.91243,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2021","2021",2.98934,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2015","2015",2.22702,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2016","2016",2.22238,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2017","2017",2.19888,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2018","2018",2.19666,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2019","2019",2.19179,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2020","2020",2.28189,,
"EXPGDP_TOT","GERD as a percentage of GDP","FRA","France","2021","2021",2.21918,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2015","2015",2.93379,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2016","2016",2.94039,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2017","2017",3.0471,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2018","2018",3.11011,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2019","2019",3.16779,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2020","2020",3.12979,,
"EXPGDP_TOT","GERD as a percentage of GDP","DEU","Germany","2021","2021",3.14246,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2015","2015",0.96605,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2016","2016",1.00529,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2017","2017",1.15228,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2018","2018",1.21371,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2019","2019",1.27496,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2020","2020",1.50793,,
"EXPGDP_TOT","GERD as a percentage of GDP","GRC","Greece","2021","2021",1.45642,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2015","2015",1.33959,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2016","2016",1.17987,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2017","2017",1.31702,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2018","2018",1.50775,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2019","2019",1.47291,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2020","2020",1.59315,,
"EXPGDP_TOT","GERD as a percentage of GDP","HUN","Hungary","2021","2021",1.6423,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2015","2015",2.18132,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2016","2016",2.11011,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2017","2017",2.08413,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2018","2018",2.00081,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2019","2019",2.34165,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2020","2020",2.49069,,
"EXPGDP_TOT","GERD as a percentage of GDP","ISL","Iceland","2021","2021",2.80542,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2015","2015",1.18212,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2016","2016",1.17507,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2017","2017",1.25187,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2018","2018",1.1672,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2019","2019",1.22527,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2020","2020",1.23252,,
"EXPGDP_TOT","GERD as a percentage of GDP","IRL","Ireland","2021","2021",1.13093,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2015","2015",1.3385,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2016","2016",1.36642,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2017","2017",1.37013,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2018","2018",1.42443,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2019","2019",1.46159,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2020","2020",1.5068,,
"EXPGDP_TOT","GERD as a percentage of GDP","ITA","Italy","2021","2021",1.45392,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2015","2015",3.24071,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2016","2016",3.10666,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2017","2017",3.16636,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2018","2018",3.2192,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2019","2019",3.21824,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2020","2020",3.26897,,
"EXPGDP_TOT","GERD as a percentage of GDP","JPN","Japan","2021","2021",3.29581,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2015","2015",3.9782,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2016","2016",3.98704,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2017","2017",4.29206,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2018","2018",4.51633,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2019","2019",4.62703,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2020","2020",4.79571,,
"EXPGDP_TOT","GERD as a percentage of GDP","KOR","Republic of Korea","2021","2021",4.93012,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2015","2015",1.25226,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2016","2016",1.2669,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2017","2017",1.23898,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2018","2018",1.1718,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2019","2019",1.18287,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2020","2020",1.0915,,
"EXPGDP_TOT","GERD as a percentage of GDP","LUX","Luxembourg","2021","2021",1.04215,,
